#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-1.05;89.8;5.31;356.7;0.0;0.0;0.0
2;2002;1;1;1;-2.01;90.3;4.66;345.8;0.0;0.0;0.0
3;2002;1;1;2;-3.03;90.4;4.04;331.8;0.0;0.0;0.0
4;2002;1;1;3;-4.41;90.5;3.60;326.4;0.0;0.0;0.0
5;2002;1;1;4;-5.97;90.5;3.12;318.5;0.0;0.0;0.0
6;2002;1;1;5;-7.66;90.1;2.58;306.3;0.0;0.0;0.0
7;2002;1;1;6;-9.41;89.7;2.25;296.3;0.0;0.0;0.0
8;2002;1;1;7;-11.29;88.9;1.89;282.0;0.0;0.0;0.0
9;2002;1;1;8;-13.40;87.8;1.51;262.9;0.0;0.0;0.0
10;2002;1;1;9;-14.60;86.8;1.80;229.1;0.0;0.0;0.0
11;2002;1;1;10;-13.40;87.8;1.92;199.8;7.4;7.4;0.0
12;2002;1;1;11;-12.30;88.8;2.11;185.1;20.1;20.1;0.0
13;2002;1;1;12;-10.30;90.5;2.39;179.2;28.3;28.3;0.0
14;2002;1;1;13;-8.40;92.2;2.68;174.5;26.0;26.0;0.0
15;2002;1;1;14;-6.40;92.7;2.97;170.8;15.8;15.1;7.1
16;2002;1;1;15;-5.70;94.6;3.79;153.2;7.2;7.2;0.0
17;2002;1;1;16;-5.00;95.2;4.67;142.1;1.7;1.7;0.0
18;2002;1;1;17;-4.30;95.9;5.58;135.0;0.0;0.0;0.0
19;2002;1;1;18;-4.00;96.2;5.84;127.0;0.0;0.0;0.0
20;2002;1;1;19;-3.70;96.5;6.12;119.7;0.0;0.0;0.0
21;2002;1;1;20;-3.90;96.3;6.40;113.2;0.0;0.0;0.0
22;2002;1;1;21;-3.70;96.5;6.36;106.1;0.0;0.0;0.0
23;2002;1;1;22;-3.80;96.4;6.32;98.9;0.0;0.0;0.0
24;2002;1;1;23;-3.90;96.2;6.30;91.7;0.0;0.0;0.0
25;2002;1;2;0;-4.10;96.1;5.62;83.4;0.0;0.0;0.0
26;2002;1;2;1;-4.30;95.9;4.96;72.5;0.0;0.0;0.0
27;2002;1;2;2;-4.50;95.4;4.32;58.7;0.0;0.0;0.0
28;2002;1;2;3;-5.60;94.7;4.34;51.2;0.0;0.0;0.0
29;2002;1;2;4;-6.70;93.7;4.37;43.7;0.0;0.0;0.0
30;2002;1;2;5;-7.70;92.8;4.40;36.3;0.0;0.0;0.0
31;2002;1;2;6;-8.60;92.0;3.76;33.1;0.0;0.0;0.0
32;2002;1;2;7;-9.40;91.2;3.14;28.5;0.0;0.0;0.0
33;2002;1;2;8;-10.30;90.5;2.52;21.7;0.0;0.0;0.0
34;2002;1;2;9;-10.80;90.0;2.24;14.8;0.0;0.0;0.0
35;2002;1;2;10;-11.30;89.6;1.97;5.7;7.6;7.6;0.0
36;2002;1;2;11;-11.80;89.1;1.74;353.8;36.4;36.4;0.0
37;2002;1;2;12;-11.40;89.5;1.81;346.8;71.9;25.4;439.7
38;2002;1;2;13;-11.00;89.8;1.87;340.0;86.7;28.7;478.3
39;2002;1;2;14;-10.70;90.2;1.94;333.4;73.7;25.1;441.0
40;2002;1;2;15;-11.50;89.4;1.75;318.2;39.6;39.6;0.0
41;2002;1;2;16;-12.30;88.7;1.65;293.0;9.5;9.5;0.0
42;2002;1;2;17;-13.10;88.0;1.51;262.9;0.0;0.0;0.0
43;2002;1;2;18;-13.70;87.5;1.52;258.7;0.0;0.0;0.0
44;2002;1;2;19;-14.30;87.1;1.53;254.4;0.0;0.0;0.0
45;2002;1;2;20;-14.80;86.6;1.53;250.2;0.0;0.0;0.0
46;2002;1;2;21;-15.10;86.4;1.85;246.6;0.0;0.0;0.0
47;2002;1;2;22;-15.30;86.2;2.18;244.2;0.0;0.0;0.0
48;2002;1;2;23;-15.00;86.4;2.50;242.3;0.0;0.0;0.0
49;2002;1;3;0;-13.20;88.0;2.50;239.7;0.0;0.0;0.0
50;2002;1;3;1;-11.30;89.6;2.49;237.1;0.0;0.0;0.0
51;2002;1;3;2;-9.50;91.2;2.48;234.5;0.0;0.0;0.0
52;2002;1;3;3;-8.40;92.1;3.13;233.6;0.0;0.0;0.0
53;2002;1;3;4;-7.40;93.1;3.77;233.0;0.0;0.0;0.0
54;2002;1;3;5;-6.40;94.0;4.43;232.5;0.0;0.0;0.0
55;2002;1;3;6;-5.70;94.6;4.43;232.5;0.0;0.0;0.0
56;2002;1;3;7;-5.00;95.3;4.43;232.5;0.0;0.0;0.0
57;2002;1;3;8;-4.30;95.9;4.43;232.5;0.0;0.0;0.0
58;2002;1;3;9;-3.30;96.9;5.09;236.0;0.0;0.0;0.0
59;2002;1;3;10;-2.20;97.9;5.74;238.8;3.0;3.0;0.0
60;2002;1;3;11;-1.20;98.9;6.40;240.9;11.8;11.8;0.0
61;2002;1;3;12;-0.80;99.3;6.40;240.9;21.7;21.7;0.0
62;2002;1;3;13;-0.30;99.7;6.40;240.9;30.8;30.8;0.0
63;2002;1;3;14;0.10;100.0;6.40;240.9;28.3;28.3;0.0
64;2002;1;3;15;0.00;100.0;6.08;243.6;14.3;14.3;0.0
65;2002;1;3;16;0.00;100.0;5.75;246.7;4.0;4.0;0.0
66;2002;1;3;17;0.00;100.0;5.43;250.0;0.0;0.0;0.0
67;2002;1;3;18;0.30;100.0;5.43;250.0;0.0;0.0;0.0
68;2002;1;3;19;0.60;100.0;5.43;250.0;0.0;0.0;0.0
69;2002;1;3;20;0.50;100.0;5.43;250.0;0.0;0.0;0.0
70;2002;1;3;21;0.50;100.0;5.43;250.0;0.0;0.0;0.0
71;2002;1;3;22;1.10;100.0;5.43;250.0;0.0;0.0;0.0
72;2002;1;3;23;1.70;100.0;5.43;250.0;0.0;0.0;0.0
73;2002;1;4;0;2.20;100.0;5.11;252.6;0.0;0.0;0.0
74;2002;1;4;1;2.70;99.7;4.78;255.5;0.0;0.0;0.0
75;2002;1;4;2;3.20;99.0;4.45;258.8;0.0;0.0;0.0
76;2002;1;4;3;3.60;97.6;4.12;261.1;0.0;0.0;0.0
77;2002;1;4;4;4.00;96.4;3.79;263.7;0.0;0.0;0.0
78;2002;1;4;5;4.40;95.6;3.45;266.9;0.0;0.0;0.0
