#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;1998;1;1;0;-5.90;88.7;3.20;163.1;0.0;0.0;0.0
2;1998;1;1;1;-6.54;88.9;3.07;163.1;0.0;0.0;0.0
3;1998;1;1;2;-7.10;89.2;2.91;163.1;0.0;0.0;0.0
4;1998;1;1;3;-7.48;90.0;2.49;156.7;0.0;0.0;0.0
5;1998;1;1;4;-7.80;90.7;2.11;150.2;0.0;0.0;0.0
6;1998;1;1;5;-7.97;91.3;1.76;143.8;0.0;0.0;0.0
7;1998;1;1;6;-8.12;91.6;1.53;153.4;0.0;0.0;0.0
8;1998;1;1;7;-8.17;91.9;1.29;163.2;0.0;0.0;0.0
9;1998;1;1;8;-8.20;92.4;1.04;172.6;0.0;0.0;0.0
10;1998;1;1;9;-8.00;92.5;1.04;166.3;0.0;0.0;0.0
11;1998;1;1;10;-7.80;92.7;1.03;159.9;0.0;0.0;0.0
12;1998;1;1;11;-7.60;92.9;1.03;153.5;0.0;0.0;0.0
13;1998;1;1;12;-7.20;93.2;1.38;176.8;0.0;0.0;0.0
14;1998;1;1;13;-6.90;93.6;1.72;191.5;1.8;1.8;0.0
15;1998;1;1;14;-7.00;93.4;2.05;200.5;0.8;0.8;0.0
16;1998;1;1;15;-7.30;93.2;2.05;187.8;0.0;0.0;0.0
17;1998;1;1;16;-7.50;93.0;2.04;174.4;0.0;0.0;0.0
18;1998;1;1;17;-7.70;92.7;2.03;161.6;0.0;0.0;0.0
19;1998;1;1;18;-8.20;92.3;2.02;158.3;0.0;0.0;0.0
20;1998;1;1;19;-8.70;91.9;2.02;155.0;0.0;0.0;0.0
21;1998;1;1;20;-9.20;91.4;2.02;151.8;0.0;0.0;0.0
22;1998;1;1;21;-9.80;90.9;2.02;151.8;0.0;0.0;0.0
23;1998;1;1;22;-10.50;90.3;2.02;151.8;0.0;0.0;0.0
24;1998;1;1;23;-11.10;89.8;2.02;151.8;0.0;0.0;0.0
25;1998;1;2;0;-12.00;89.0;1.69;156.0;0.0;0.0;0.0
26;1998;1;2;1;-12.80;88.3;1.36;162.4;0.0;0.0;0.0
27;1998;1;2;2;-13.70;87.5;1.04;172.6;0.0;0.0;0.0
28;1998;1;2;3;-14.50;86.9;1.04;166.3;0.0;0.0;0.0
29;1998;1;2;4;-15.20;86.3;1.03;159.9;0.0;0.0;0.0
30;1998;1;2;5;-16.00;85.6;1.03;153.5;0.0;0.0;0.0
31;1998;1;2;6;-16.20;85.5;1.35;147.8;0.0;0.0;0.0
32;1998;1;2;7;-15.50;86.1;1.68;144.2;0.0;0.0;0.0
33;1998;1;2;8;-14.80;86.6;2.01;141.9;0.0;0.0;0.0
34;1998;1;2;9;-14.50;86.8;2.01;145.2;0.0;0.0;0.0
35;1998;1;2;10;-14.30;87.0;2.01;148.5;0.0;0.0;0.0
36;1998;1;2;11;-14.10;87.2;2.02;151.8;0.0;0.0;0.0
37;1998;1;2;12;-12.80;88.3;2.34;147.3;1.6;1.6;0.0
38;1998;1;2;13;-11.60;89.4;2.67;143.9;3.2;3.2;0.0
39;1998;1;2;14;-10.30;90.4;3.00;141.3;1.1;1.1;0.0
40;1998;1;2;15;-9.90;90.8;3.00;141.3;0.0;0.0;0.0
41;1998;1;2;16;-9.40;90.9;3.00;141.3;0.0;0.0;0.0
42;1998;1;2;17;-8.90;90.9;3.00;141.3;0.0;0.0;0.0
43;1998;1;2;18;-8.70;91.2;2.67;141.4;0.0;0.0;0.0
44;1998;1;2;19;-8.50;91.5;2.33;141.6;0.0;0.0;0.0
45;1998;1;2;20;-8.40;91.8;2.01;141.9;0.0;0.0;0.0
46;1998;1;2;21;-8.20;91.8;2.34;145.9;0.0;0.0;0.0
47;1998;1;2;22;-8.10;91.8;2.68;148.9;0.0;0.0;0.0
48;1998;1;2;23;-7.90;91.9;3.01;151.2;0.0;0.0;0.0
49;1998;1;3;0;-7.90;92.1;2.69;156.2;0.0;0.0;0.0
50;1998;1;3;1;-7.80;92.4;2.36;162.8;0.0;0.0;0.0
51;1998;1;3;2;-7.80;92.7;2.04;171.4;0.0;0.0;0.0
52;1998;1;3;3;-8.10;92.4;2.03;161.7;0.0;0.0;0.0
53;1998;1;3;4;-8.30;92.1;2.02;151.7;0.0;0.0;0.0
54;1998;1;3;5;-8.50;91.8;2.01;141.9;0.0;0.0;0.0
55;1998;1;3;6;-8.60;91.8;2.00;138.6;0.0;0.0;0.0
56;1998;1;3;7;-8.70;91.8;2.00;135.3;0.0;0.0;0.0
57;1998;1;3;8;-8.70;91.8;1.99;132.0;0.0;0.0;0.0
58;1998;1;3;9;-8.60;91.8;1.99;132.0;0.0;0.0;0.0
