#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-3.15;90.2;3.56;305.2;0.0;0.0;0.0
2;2002;1;1;1;-4.79;89.8;3.35;305.2;0.0;0.0;0.0
3;2002;1;1;2;-6.61;89.3;3.19;305.2;0.0;0.0;0.0
4;2002;1;1;3;-7.37;89.7;2.71;307.9;0.0;0.0;0.0
5;2002;1;1;4;-7.97;89.9;2.13;312.9;0.0;0.0;0.0
6;2002;1;1;5;-8.63;90.1;1.43;324.2;0.0;0.0;0.0
7;2002;1;1;6;-11.01;88.6;1.00;316.6;0.0;0.0;0.0
8;2002;1;1;7;-13.66;86.8;0.56;296.1;0.0;0.0;0.0
9;2002;1;1;8;-16.40;84.6;0.28;239.1;0.0;0.0;0.0
10;2002;1;1;9;-17.70;84.2;1.05;165.2;0.0;0.0;0.0
11;2002;1;1;10;-15.10;86.3;2.05;157.7;2.4;2.4;0.0
12;2002;1;1;11;-12.50;88.5;3.06;155.2;11.8;11.8;0.0
13;2002;1;1;12;-13.60;87.6;2.38;156.7;25.9;25.9;0.0
14;2002;1;1;13;-14.60;86.8;1.72;159.2;25.9;25.9;0.0
15;2002;1;1;14;-15.70;85.9;1.05;165.2;18.8;18.8;0.0
16;2002;1;1;15;-14.10;87.2;1.31;146.8;8.0;8.0;0.0
17;2002;1;1;16;-12.50;88.6;1.60;135.0;1.2;1.2;0.0
18;2002;1;1;17;-10.80;90.0;1.91;127.3;0.0;0.0;0.0
19;2002;1;1;18;-12.00;88.5;1.24;131.3;0.0;0.0;0.0
20;2002;1;1;19;-13.20;86.1;0.60;143.9;0.0;0.0;0.0
21;2002;1;1;20;-14.40;83.7;0.28;239.1;0.0;0.0;0.0
22;2002;1;1;21;-13.10;86.1;0.12;132.3;0.0;0.0;0.0
23;2002;1;1;22;-11.80;88.4;0.43;93.2;0.0;0.0;0.0
24;2002;1;1;23;-10.60;90.3;0.76;87.4;0.0;0.0;0.0
25;2002;1;2;0;-11.40;89.5;1.15;11.3;0.0;0.0;0.0
26;2002;1;2;1;-12.30;88.8;1.69;324.5;0.0;0.0;0.0
27;2002;1;2;2;-13.10;88.0;2.09;312.5;0.0;0.0;0.0
28;2002;1;2;3;-13.20;88.0;2.09;312.5;0.0;0.0;0.0
29;2002;1;2;4;-13.30;87.8;2.09;312.5;0.0;0.0;0.0
30;2002;1;2;5;-13.30;87.0;2.09;312.5;0.0;0.0;0.0
31;2002;1;2;6;-14.00;85.6;1.77;307.3;0.0;0.0;0.0
32;2002;1;2;7;-14.60;84.2;1.46;299.7;0.0;0.0;0.0
33;2002;1;2;8;-15.20;82.8;1.17;288.1;0.0;0.0;0.0
34;2002;1;2;9;-15.40;83.3;1.16;290.9;0.0;0.0;0.0
35;2002;1;2;10;-15.50;83.8;1.15;293.8;2.4;2.4;0.0
36;2002;1;2;11;-15.60;84.3;1.13;296.7;12.7;12.7;0.0
37;2002;1;2;12;-16.30;85.4;0.81;291.3;29.4;29.4;0.0
38;2002;1;2;13;-16.90;84.9;0.50;278.4;40.8;40.8;0.0
39;2002;1;2;14;-15.90;85.7;0.28;239.1;27.8;27.8;0.0
40;2002;1;2;15;-15.30;86.2;0.44;189.2;10.3;10.3;0.0
41;2002;1;2;16;-14.70;86.7;0.74;172.0;1.9;1.9;0.0
42;2002;1;2;17;-14.10;86.1;1.05;165.2;0.0;0.0;0.0
43;2002;1;2;18;-13.80;86.8;1.07;168.3;0.0;0.0;0.0
44;2002;1;2;19;-13.50;87.5;1.08;171.3;0.0;0.0;0.0
45;2002;1;2;20;-13.30;87.9;1.10;174.3;0.0;0.0;0.0
46;2002;1;2;21;-13.30;87.9;1.08;171.3;0.0;0.0;0.0
47;2002;1;2;22;-11.00;89.9;1.07;168.3;0.0;0.0;0.0
48;2002;1;2;23;-8.70;91.9;1.05;165.2;0.0;0.0;0.0
49;2002;1;3;0;-9.40;91.2;1.40;166.3;0.0;0.0;0.0
50;2002;1;3;1;-10.10;90.6;1.76;166.9;0.0;0.0;0.0
51;2002;1;3;2;-10.80;90.0;2.10;167.4;0.0;0.0;0.0
52;2002;1;3;3;-9.20;91.4;1.78;172.6;0.0;0.0;0.0
53;2002;1;3;4;-7.60;92.9;1.47;180.1;0.0;0.0;0.0
54;2002;1;3;5;-6.00;94.4;1.18;191.6;0.0;0.0;0.0
55;2002;1;3;6;-4.80;95.3;2.62;218.6;0.0;0.0;0.0
56;2002;1;3;7;-3.70;95.9;3.99;226.8;0.0;0.0;0.0
57;2002;1;3;8;-2.50;96.5;5.34;230.5;0.0;0.0;0.0
58;2002;1;3;9;-2.30;96.8;4.32;230.6;0.0;0.0;0.0
59;2002;1;3;10;-2.00;97.1;3.31;230.8;2.4;2.4;0.0
60;2002;1;3;11;-1.70;97.3;2.30;231.1;9.4;9.4;0.0
61;2002;1;3;12;-0.60;99.4;2.63;231.0;13.0;13.0;0.0
62;2002;1;3;13;0.50;100.0;2.98;230.8;13.9;13.9;0.0
63;2002;1;3;14;1.60;100.0;3.31;230.8;12.5;12.5;0.0
64;2002;1;3;15;1.10;100.0;3.31;230.8;5.8;5.8;0.0
65;2002;1;3;16;0.70;99.8;3.31;230.8;0.9;0.9;0.0
66;2002;1;3;17;0.30;98.4;3.31;230.8;0.0;0.0;0.0
67;2002;1;3;18;1.30;96.9;3.99;239.1;0.0;0.0;0.0
68;2002;1;3;19;2.30;95.4;4.66;245.0;0.0;0.0;0.0
69;2002;1;3;20;3.20;94.0;5.34;249.4;0.0;0.0;0.0
