#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-5.45;88.2;5.31;1.8;0.0;0.0;0.0
2;2002;1;1;1;-6.63;88.2;4.64;351.6;0.0;0.0;0.0
3;2002;1;1;2;-8.00;87.8;3.98;338.5;0.0;0.0;0.0
4;2002;1;1;3;-9.78;87.3;3.52;334.1;0.0;0.0;0.0
5;2002;1;1;4;-11.77;86.6;2.99;327.6;0.0;0.0;0.0
6;2002;1;1;5;-13.84;85.6;2.37;316.7;0.0;0.0;0.0
7;2002;1;1;6;-16.09;84.5;1.97;306.7;0.0;0.0;0.0
8;2002;1;1;7;-18.61;83.2;1.54;290.5;0.0;0.0;0.0
9;2002;1;1;8;-21.20;81.4;1.08;265.8;0.0;0.0;0.0
10;2002;1;1;9;-22.70;80.2;1.44;220.5;0.0;0.0;0.0
11;2002;1;1;10;-21.20;81.3;1.75;187.0;8.0;8.0;0.0
12;2002;1;1;11;-19.80;82.5;2.05;172.7;21.7;21.7;0.0
13;2002;1;1;12;-17.30;84.6;2.37;168.1;30.5;29.0;15.1
14;2002;1;1;13;-14.80;86.6;2.71;164.7;28.0;26.7;11.6
15;2002;1;1;14;-12.30;87.7;3.03;162.0;17.0;15.1;19.8
16;2002;1;1;15;-11.40;89.5;3.99;146.6;7.7;7.7;0.0
17;2002;1;1;16;-10.50;90.3;4.97;137.2;1.9;1.9;0.0
18;2002;1;1;17;-9.60;91.1;5.95;131.1;0.0;0.0;0.0
19;2002;1;1;18;-9.20;91.4;6.26;123.7;0.0;0.0;0.0
20;2002;1;1;19;-8.80;91.8;6.59;116.9;0.0;0.0;0.0
21;2002;1;1;20;-9.10;91.6;6.91;110.9;0.0;0.0;0.0
22;2002;1;1;21;-8.80;91.8;6.89;104.2;0.0;0.0;0.0
23;2002;1;1;22;-9.00;91.7;6.88;97.4;0.0;0.0;0.0
24;2002;1;1;23;-9.20;91.5;6.87;90.7;0.0;0.0;0.0
25;2002;1;2;0;-9.40;91.3;6.20;82.9;0.0;0.0;0.0
