#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;0.30;82.3;4.57;359.4;0.0;0.0;0.0
2;2002;1;1;1;-0.36;83.3;4.09;352.1;0.0;0.0;0.0
3;2002;1;1;2;-1.03;84.2;3.67;343.8;0.0;0.0;0.0
4;2002;1;1;3;-2.26;85.8;3.60;338.5;0.0;0.0;0.0
5;2002;1;1;4;-3.55;87.5;3.34;330.6;0.0;0.0;0.0
6;2002;1;1;5;-4.99;89.4;2.89;318.1;0.0;0.0;0.0
7;2002;1;1;6;-6.34;89.8;2.51;315.0;0.0;0.0;0.0
8;2002;1;1;7;-7.77;89.9;2.28;311.9;0.0;0.0;0.0
9;2002;1;1;8;-9.20;89.8;2.16;308.9;0.0;0.0;0.0
10;2002;1;1;9;-9.90;89.3;1.82;309.8;0.0;0.0;0.0
11;2002;1;1;10;-10.70;88.8;0.94;35.2;8.2;8.2;0.0
12;2002;1;1;11;-10.40;87.7;0.89;155.9;41.5;41.5;0.0
13;2002;1;1;12;-9.30;88.0;1.06;126.5;54.2;49.8;41.5
14;2002;1;1;13;-8.20;88.2;1.31;107.6;45.0;45.0;0.0
15;2002;1;1;14;-7.10;88.4;1.61;96.2;29.7;29.7;0.0
16;2002;1;1;15;-6.30;88.8;1.61;96.2;12.1;12.1;0.0
17;2002;1;1;16;-5.40;89.1;1.61;96.2;2.2;2.2;0.0
18;2002;1;1;17;-4.60;89.5;1.61;96.2;0.0;0.0;0.0
19;2002;1;1;18;-3.60;88.9;2.65;106.5;0.0;0.0;0.0
20;2002;1;1;19;-2.70;88.2;3.67;111.1;0.0;0.0;0.0
21;2002;1;1;20;-1.70;87.6;4.69;113.7;0.0;0.0;0.0
22;2002;1;1;21;-1.70;87.2;4.67;110.1;0.0;0.0;0.0
23;2002;1;1;22;-1.70;86.7;4.65;106.5;0.0;0.0;0.0
24;2002;1;1;23;-1.70;86.3;4.63;103.0;0.0;0.0;0.0
25;2002;1;2;0;-2.10;87.4;4.90;83.0;0.0;0.0;0.0
26;2002;1;2;1;-2.60;88.6;5.23;63.9;0.0;0.0;0.0
27;2002;1;2;2;-3.00;89.8;5.57;48.7;0.0;0.0;0.0
28;2002;1;2;3;-3.70;89.0;5.91;44.9;0.0;0.0;0.0
29;2002;1;2;4;-4.50;88.1;6.26;41.4;0.0;0.0;0.0
30;2002;1;2;5;-5.20;87.2;6.60;38.3;0.0;0.0;0.0
31;2002;1;2;6;-6.00;87.7;5.95;32.6;0.0;0.0;0.0
32;2002;1;2;7;-6.90;88.3;5.33;25.3;0.0;0.0;0.0
33;2002;1;2;8;-7.80;88.8;4.70;16.1;0.0;0.0;0.0
34;2002;1;2;9;-8.10;88.6;4.39;12.8;0.0;0.0;0.0
35;2002;1;2;10;-8.50;88.4;4.07;9.0;8.9;8.9;0.0
36;2002;1;2;11;-8.80;88.1;3.77;4.5;38.1;38.1;0.0
37;2002;1;2;12;-8.70;87.1;3.12;1.2;69.9;30.1;370.3
38;2002;1;2;13;-8.50;86.1;2.49;356.1;81.9;33.5;403.7
39;2002;1;2;14;-8.40;85.1;1.87;347.6;68.7;29.2;388.3
40;2002;1;2;15;-8.90;85.9;1.94;337.5;36.3;36.3;0.0
41;2002;1;2;16;-9.50;86.7;2.02;327.5;8.4;8.4;0.0
42;2002;1;2;17;-10.10;87.5;2.09;318.1;0.0;0.0;0.0
43;2002;1;2;18;-11.20;88.2;1.81;310.5;0.0;0.0;0.0
44;2002;1;2;19;-12.30;88.8;1.54;299.8;0.0;0.0;0.0
45;2002;1;2;20;-12.10;88.8;1.31;284.4;0.0;0.0;0.0
46;2002;1;2;21;-13.60;87.6;1.72;268.1;0.0;0.0;0.0
47;2002;1;2;22;-12.50;88.1;2.09;256.7;0.0;0.0;0.0
48;2002;1;2;23;-11.50;87.0;2.43;249.4;0.0;0.0;0.0
49;2002;1;3;0;-11.00;86.7;2.10;252.4;0.0;0.0;0.0
50;2002;1;3;1;-10.50;86.4;1.75;256.7;0.0;0.0;0.0
51;2002;1;3;2;-10.00;86.1;1.41;262.9;0.0;0.0;0.0
52;2002;1;3;3;-9.70;86.4;2.10;241.1;0.0;0.0;0.0
53;2002;1;3;4;-9.50;86.7;2.74;229.7;0.0;0.0;0.0
54;2002;1;3;5;-9.20;87.0;3.39;223.3;0.0;0.0;0.0
55;2002;1;3;6;-7.50;88.2;3.40;226.2;0.0;0.0;0.0
56;2002;1;3;7;-5.70;89.3;3.41;229.2;0.0;0.0;0.0
57;2002;1;3;8;-3.90;90.4;3.41;232.1;0.0;0.0;0.0
58;2002;1;3;9;-2.60;87.7;5.09;236.6;0.0;0.0;0.0
59;2002;1;3;10;-1.30;85.1;6.75;238.9;9.6;9.6;0.0
60;2002;1;3;11;0.10;82.4;8.42;240.3;25.3;25.3;0.0
61;2002;1;3;12;0.70;81.9;8.42;243.5;35.2;35.2;0.0
62;2002;1;3;13;1.40;81.4;8.42;246.7;37.6;37.6;0.0
63;2002;1;3;14;2.10;80.8;8.42;249.8;31.3;31.3;0.0
64;2002;1;3;15;2.40;81.7;8.09;246.9;14.9;14.9;0.0
65;2002;1;3;16;2.70;82.5;7.75;243.8;2.7;2.7;0.0
66;2002;1;3;17;3.00;83.4;7.42;240.4;0.0;0.0;0.0
67;2002;1;3;18;2.90;84.3;7.42;243.5;0.0;0.0;0.0
68;2002;1;3;19;2.80;85.3;7.42;246.7;0.0;0.0;0.0
69;2002;1;3;20;2.70;86.4;7.42;249.8;0.0;0.0;0.0
70;2002;1;3;21;2.60;86.9;7.42;249.8;0.0;0.0;0.0
71;2002;1;3;22;2.60;87.4;7.42;249.8;0.0;0.0;0.0
72;2002;1;3;23;2.50;87.9;7.42;249.8;0.0;0.0;0.0
73;2002;1;4;0;2.80;87.5;7.09;252.6;0.0;0.0;0.0
74;2002;1;4;1;3.00;87.1;6.75;255.7;0.0;0.0;0.0
75;2002;1;4;2;3.30;86.7;6.41;259.1;0.0;0.0;0.0
76;2002;1;4;3;3.60;86.7;6.07;264.5;0.0;0.0;0.0
77;2002;1;4;4;3.90;86.7;5.72;270.6;0.0;0.0;0.0
78;2002;1;4;5;4.10;86.7;5.36;277.4;0.0;0.0;0.0
79;2002;1;4;6;4.60;86.0;5.33;283.6;0.0;0.0;0.0
80;2002;1;4;7;5.00;85.6;5.30;289.9;0.0;0.0;0.0
81;2002;1;4;8;5.50;85.6;5.26;296.2;0.0;0.0;0.0
