#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-3.35;89.1;5.25;0.1;0.0;0.0;0.0
2;2002;1;1;1;-4.46;89.3;4.60;349.7;0.0;0.0;0.0
3;2002;1;1;2;-5.62;89.1;3.96;336.3;0.0;0.0;0.0
4;2002;1;1;3;-7.25;88.8;3.51;331.6;0.0;0.0;0.0
5;2002;1;1;4;-8.97;88.4;2.99;324.6;0.0;0.0;0.0
6;2002;1;1;5;-10.96;87.7;2.42;313.1;0.0;0.0;0.0
7;2002;1;1;6;-13.01;86.9;2.04;303.1;0.0;0.0;0.0
8;2002;1;1;7;-15.23;85.8;1.64;287.5;0.0;0.0;0.0
9;2002;1;1;8;-17.50;84.3;1.21;265.0;0.0;0.0;0.0
10;2002;1;1;9;-19.00;83.2;1.53;224.1;0.0;0.0;0.0
11;2002;1;1;10;-17.60;84.3;1.77;191.6;7.7;7.7;0.0
12;2002;1;1;11;-16.30;85.4;2.03;176.9;20.9;20.9;0.0
13;2002;1;1;12;-14.00;87.3;2.33;171.8;29.4;29.0;3.6
14;2002;1;1;13;-11.80;89.2;2.65;167.9;27.0;26.7;2.4
15;2002;1;1;14;-9.50;90.1;2.96;164.9;16.4;15.1;13.3
16;2002;1;1;15;-8.70;91.9;3.87;148.7;7.4;7.4;0.0
17;2002;1;1;16;-7.90;92.6;4.80;138.7;1.8;1.8;0.0
18;2002;1;1;17;-7.10;93.3;5.76;132.3;0.0;0.0;0.0
19;2002;1;1;18;-6.70;93.7;6.05;124.7;0.0;0.0;0.0
20;2002;1;1;19;-6.40;94.0;6.36;117.7;0.0;0.0;0.0
21;2002;1;1;20;-6.60;93.8;6.66;111.5;0.0;0.0;0.0
22;2002;1;1;21;-6.40;94.0;6.64;104.7;0.0;0.0;0.0
23;2002;1;1;22;-6.50;93.9;6.62;97.8;0.0;0.0;0.0
24;2002;1;1;23;-6.70;93.7;6.61;90.9;0.0;0.0;0.0
25;2002;1;2;0;-6.90;93.5;5.94;82.9;0.0;0.0;0.0
26;2002;1;2;1;-7.10;93.3;5.29;72.6;0.0;0.0;0.0
27;2002;1;2;2;-7.40;92.8;4.63;59.7;0.0;0.0;0.0
28;2002;1;2;3;-8.60;92.0;4.64;52.7;0.0;0.0;0.0
29;2002;1;2;4;-9.80;90.9;4.65;45.6;0.0;0.0;0.0
30;2002;1;2;5;-11.10;89.8;4.66;38.7;0.0;0.0;0.0
31;2002;1;2;6;-12.00;89.0;4.01;36.0;0.0;0.0;0.0
32;2002;1;2;7;-13.00;88.1;3.37;32.3;0.0;0.0;0.0
33;2002;1;2;8;-14.00;87.3;2.73;26.9;0.0;0.0;0.0
34;2002;1;2;9;-14.60;86.8;2.42;21.2;0.0;0.0;0.0
35;2002;1;2;10;-15.20;86.3;2.11;13.6;7.9;7.9;0.0
36;2002;1;2;11;-15.80;85.8;1.82;3.5;37.8;37.8;0.0
37;2002;1;2;12;-15.30;86.2;1.85;356.4;74.6;25.4;465.6
38;2002;1;2;13;-14.90;86.6;1.88;349.4;90.0;28.7;505.5
39;2002;1;2;14;-14.40;86.9;1.91;342.6;76.5;25.1;466.5
40;2002;1;2;15;-15.40;86.1;1.65;327.9;41.1;41.1;0.0
41;2002;1;2;16;-16.30;85.3;1.43;300.8;9.8;9.8;0.0
42;2002;1;2;17;-17.30;84.5;1.21;265.0;0.0;0.0;0.0
43;2002;1;2;18;-17.90;84.0;1.22;259.7;0.0;0.0;0.0
44;2002;1;2;19;-18.60;83.5;1.23;254.4;0.0;0.0;0.0
45;2002;1;2;20;-19.20;83.0;1.23;249.1;0.0;0.0;0.0
46;2002;1;2;21;-19.50;82.7;1.55;245.1;0.0;0.0;0.0
