#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-8.30;88.3;3.38;309.2;0.0;0.0;0.0
2;2002;1;1;1;-10.36;87.3;3.19;309.2;0.0;0.0;0.0
3;2002;1;1;2;-12.65;86.2;3.04;309.2;0.0;0.0;0.0
4;2002;1;1;3;-13.51;86.0;2.57;313.1;0.0;0.0;0.0
5;2002;1;1;4;-14.35;85.8;2.03;320.4;0.0;0.0;0.0
6;2002;1;1;5;-15.16;85.5;1.38;337.6;0.0;0.0;0.0
7;2002;1;1;6;-18.11;83.3;0.96;336.5;0.0;0.0;0.0
8;2002;1;1;7;-21.30;80.9;0.49;332.7;0.0;0.0;0.0
9;2002;1;1;8;-24.70;78.2;0.04;229.7;0.0;0.0;0.0
10;2002;1;1;9;-26.30;77.4;1.02;152.4;0.0;0.0;0.0
11;2002;1;1;10;-23.10;79.9;2.02;151.2;2.7;2.7;0.0
12;2002;1;1;11;-19.90;82.4;3.03;150.8;13.6;13.6;0.0
13;2002;1;1;12;-21.20;81.4;2.36;151.0;30.0;30.0;0.0
14;2002;1;1;13;-22.50;80.4;1.69;151.5;30.0;30.0;0.0
15;2002;1;1;14;-23.80;79.4;1.02;152.4;21.8;21.8;0.0
16;2002;1;1;15;-21.80;80.9;1.34;136.9;9.2;9.2;0.0
17;2002;1;1;16;-19.80;82.5;1.67;127.3;1.4;1.4;0.0
18;2002;1;1;17;-17.80;84.1;2.00;121.2;0.0;0.0;0.0
19;2002;1;1;18;-19.30;82.5;1.33;121.8;0.0;0.0;0.0
20;2002;1;1;19;-20.70;80.3;0.66;123.6;0.0;0.0;0.0
21;2002;1;1;20;-22.20;78.1;0.04;229.7;0.0;0.0;0.0
22;2002;1;1;21;-20.60;80.3;0.30;84.3;0.0;0.0;0.0
23;2002;1;1;22;-19.00;82.5;0.64;82.0;0.0;0.0;0.0
24;2002;1;1;23;-17.50;84.4;0.97;81.3;0.0;0.0;0.0
25;2002;1;2;0;-18.50;83.5;1.30;19.0;0.0;0.0;0.0
26;2002;1;2;1;-19.60;82.7;1.67;332.5;0.0;0.0;0.0
27;2002;1;2;2;-20.60;81.8;2.02;318.8;0.0;0.0;0.0
28;2002;1;2;3;-20.70;81.8;2.02;318.8;0.0;0.0;0.0
29;2002;1;2;4;-20.80;81.6;2.02;318.8;0.0;0.0;0.0
30;2002;1;2;5;-20.90;81.0;2.02;318.8;0.0;0.0;0.0
31;2002;1;2;6;-21.70;79.7;1.69;314.6;0.0;0.0;0.0
32;2002;1;2;7;-22.50;78.4;1.35;308.2;0.0;0.0;0.0
33;2002;1;2;8;-23.20;77.2;1.02;297.7;0.0;0.0;0.0
34;2002;1;2;9;-23.40;77.5;1.02;301.0;0.0;0.0;0.0
35;2002;1;2;10;-23.50;77.8;1.02;304.3;2.7;2.7;0.0
36;2002;1;2;11;-23.70;78.1;1.02;307.6;14.7;14.7;0.0
37;2002;1;2;12;-24.50;78.8;0.68;306.4;34.1;34.1;0.0
38;2002;1;2;13;-25.30;78.2;0.34;302.8;47.2;47.2;0.0
39;2002;1;2;14;-24.10;79.2;0.04;229.7;32.2;32.2;0.0
40;2002;1;2;15;-23.30;79.7;0.34;157.2;12.0;12.0;0.0
41;2002;1;2;16;-22.60;80.3;0.68;153.6;2.2;2.2;0.0
42;2002;1;2;17;-21.80;80.0;1.02;152.4;0.0;0.0;0.0
43;2002;1;2;18;-21.50;80.7;1.02;155.7;0.0;0.0;0.0
44;2002;1;2;19;-21.10;81.3;1.02;159.0;0.0;0.0;0.0
45;2002;1;2;20;-20.80;81.7;1.02;162.3;0.0;0.0;0.0
46;2002;1;2;21;-20.80;81.7;1.02;159.0;0.0;0.0;0.0
47;2002;1;2;22;-18.00;83.9;1.02;155.7;0.0;0.0;0.0
48;2002;1;2;23;-15.20;86.2;1.02;152.4;0.0;0.0;0.0
49;2002;1;3;0;-16.10;85.5;1.35;156.8;0.0;0.0;0.0
50;2002;1;3;1;-17.00;84.8;1.70;159.4;0.0;0.0;0.0
51;2002;1;3;2;-17.80;84.1;2.03;161.2;0.0;0.0;0.0
52;2002;1;3;3;-15.80;85.7;1.70;165.3;0.0;0.0;0.0
53;2002;1;3;4;-13.80;87.4;1.36;171.6;0.0;0.0;0.0
54;2002;1;3;5;-11.80;89.2;1.04;181.8;0.0;0.0;0.0
55;2002;1;3;6;-10.40;90.3;2.39;216.5;0.0;0.0;0.0
56;2002;1;3;7;-9.00;91.2;3.74;225.9;0.0;0.0;0.0
57;2002;1;3;8;-7.60;92.1;5.08;230.0;0.0;0.0;0.0
58;2002;1;3;9;-7.30;92.4;4.07;230.0;0.0;0.0;0.0
59;2002;1;3;10;-6.90;92.7;3.07;230.0;2.7;2.7;0.0
60;2002;1;3;11;-6.60;93.0;2.06;230.0;10.9;10.9;0.0
61;2002;1;3;12;-5.20;95.0;2.39;230.0;15.0;15.0;0.0
62;2002;1;3;13;-3.90;96.3;2.73;230.0;16.1;16.1;0.0
63;2002;1;3;14;-2.50;97.6;3.07;230.0;14.4;14.4;0.0
64;2002;1;3;15;-3.10;97.1;3.07;230.0;6.8;6.8;0.0
65;2002;1;3;16;-3.60;96.4;3.07;230.0;1.1;1.1;0.0
66;2002;1;3;17;-4.10;94.9;3.07;230.0;0.0;0.0;0.0
67;2002;1;3;18;-2.90;94.8;3.74;239.0;0.0;0.0;0.0
68;2002;1;3;19;-1.70;94.8;4.40;245.3;0.0;0.0;0.0
69;2002;1;3;20;-0.50;94.8;5.08;249.8;0.0;0.0;0.0
70;2002;1;3;21;-0.60;95.7;4.75;249.8;0.0;0.0;0.0
71;2002;1;3;22;-0.80;96.7;4.40;249.8;0.0;0.0;0.0
72;2002;1;3;23;-0.90;97.6;4.07;249.8;0.0;0.0;0.0
73;2002;1;4;0;-0.10;97.9;4.07;265.8;0.0;0.0;0.0
74;2002;1;4;1;0.80;97.5;4.06;283.3;0.0;0.0;0.0
75;2002;1;4;2;1.60;97.3;4.05;299.4;0.0;0.0;0.0
76;2002;1;4;3;1.40;97.6;3.37;295.4;0.0;0.0;0.0
77;2002;1;4;4;1.20;98.0;2.71;289.2;0.0;0.0;0.0
78;2002;1;4;5;1.10;98.4;2.04;279.1;0.0;0.0;0.0
79;2002;1;4;6;1.20;97.3;2.72;284.2;0.0;0.0;0.0
80;2002;1;4;7;1.40;96.3;3.38;287.4;0.0;0.0;0.0
81;2002;1;4;8;1.60;95.4;4.05;289.5;0.0;0.0;0.0
82;2002;1;4;9;1.40;96.3;3.72;289.4;0.0;0.0;0.0
83;2002;1;4;10;1.30;97.3;3.38;289.4;11.5;11.5;0.0
84;2002;1;4;11;1.10;98.3;3.04;289.3;28.9;28.9;0.0
85;2002;1;4;12;1.30;98.5;3.05;286.0;25.1;25.1;0.0
86;2002;1;4;13;1.40;98.8;3.05;282.7;21.3;21.3;0.0
87;2002;1;4;14;1.60;99.1;3.05;279.4;18.6;18.6;0.0
88;2002;1;4;15;1.50;98.8;3.05;276.1;9.5;9.5;0.0
89;2002;1;4;16;1.40;98.5;3.05;272.8;2.2;2.2;0.0
90;2002;1;4;17;1.20;98.3;3.06;269.5;0.0;0.0;0.0
91;2002;1;4;18;1.90;97.6;3.05;279.3;0.0;0.0;0.0
92;2002;1;4;19;2.60;96.9;3.04;289.4;0.0;0.0;0.0
93;2002;1;4;20;2.40;96.3;3.04;299.2;0.0;0.0;0.0
94;2002;1;4;21;2.60;96.9;2.71;299.1;0.0;0.0;0.0
95;2002;1;4;22;2.00;97.6;2.36;299.0;0.0;0.0;0.0
96;2002;1;4;23;1.40;98.2;2.03;298.8;0.0;0.0;0.0
97;2002;1;5;0;1.30;98.2;2.36;307.5;0.0;0.0;0.0
98;2002;1;5;1;1.20;98.3;2.69;314.1;0.0;0.0;0.0
99;2002;1;5;2;1.10;98.3;3.02;319.2;0.0;0.0;0.0
100;2002;1;5;3;1.10;98.4;3.03;306.1;0.0;0.0;0.0
101;2002;1;5;4;1.00;98.5;3.04;292.3;0.0;0.0;0.0
102;2002;1;5;5;1.00;98.5;3.05;279.4;0.0;0.0;0.0
103;2002;1;5;6;0.90;98.5;2.38;275.1;0.0;0.0;0.0
104;2002;1;5;7;0.90;98.6;1.72;267.2;0.0;0.0;0.0
105;2002;1;5;8;0.90;98.6;1.05;249.2;0.0;0.0;0.0
106;2002;1;5;9;0.90;98.5;2.06;249.6;0.0;0.0;0.0
107;2002;1;5;10;1.00;98.5;3.06;249.7;5.2;5.2;0.0
108;2002;1;5;11;1.10;98.4;4.07;249.8;18.0;18.0;0.0
109;2002;1;5;12;0.80;98.9;4.40;264.9;28.1;28.1;0.0
110;2002;1;5;13;0.60;99.5;4.73;278.5;29.5;29.5;0.0
111;2002;1;5;14;0.40;100.0;5.06;289.6;18.9;18.9;0.0
112;2002;1;5;15;0.30;99.8;4.72;295.2;8.1;8.1;0.0
113;2002;1;5;16;0.50;99.3;4.38;301.8;2.2;2.2;0.0
114;2002;1;5;17;0.70;98.8;4.04;309.4;0.0;0.0;0.0
115;2002;1;5;18;0.80;97.8;4.04;306.1;0.0;0.0;0.0
116;2002;1;5;19;0.80;96.8;4.04;302.7;0.0;0.0;0.0
117;2002;1;5;20;0.90;95.8;4.05;299.4;0.0;0.0;0.0
118;2002;1;5;21;1.10;96.5;4.05;292.8;0.0;0.0;0.0
119;2002;1;5;22;1.40;97.3;4.05;286.1;0.0;0.0;0.0
120;2002;1;5;23;1.00;98.5;4.06;279.5;0.0;0.0;0.0
121;2002;1;6;0;0.80;98.7;4.05;286.1;0.0;0.0;0.0
122;2002;1;6;1;0.60;98.9;4.05;292.8;0.0;0.0;0.0
123;2002;1;6;2;0.40;99.0;4.05;299.4;0.0;0.0;0.0
124;2002;1;6;3;0.60;98.9;3.37;301.3;0.0;0.0;0.0
125;2002;1;6;4;0.70;98.8;2.70;304.1;0.0;0.0;0.0
126;2002;1;6;5;0.90;98.6;2.02;308.8;0.0;0.0;0.0
