#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-3.60;82.4;4.47;3.1;0.0;0.0;0.0
2;2002;1;1;1;-4.37;82.9;4.02;356.3;0.0;0.0;0.0
3;2002;1;1;2;-5.19;83.4;3.61;348.5;0.0;0.0;0.0
4;2002;1;1;3;-6.61;84.2;3.52;344.2;0.0;0.0;0.0
5;2002;1;1;4;-8.25;85.2;3.25;337.7;0.0;0.0;0.0
6;2002;1;1;5;-10.00;86.2;2.75;327.1;0.0;0.0;0.0
7;2002;1;1;6;-11.60;86.0;2.39;323.8;0.0;0.0;0.0
8;2002;1;1;7;-13.29;85.6;2.14;320.5;0.0;0.0;0.0
9;2002;1;1;8;-15.20;85.0;2.02;317.2;0.0;0.0;0.0
10;2002;1;1;9;-16.00;84.4;1.69;319.9;0.0;0.0;0.0
11;2002;1;1;10;-16.90;83.8;1.22;42.9;9.0;9.0;0.0
12;2002;1;1;11;-16.50;82.9;0.94;135.5;45.7;45.7;0.0
13;2002;1;1;12;-15.20;83.5;1.24;113.1;59.7;49.8;93.2
14;2002;1;1;13;-13.90;84.0;1.56;99.5;49.6;49.6;0.0
15;2002;1;1;14;-12.50;84.5;1.88;91.1;32.7;32.7;0.0
16;2002;1;1;15;-11.50;85.0;1.88;91.1;13.3;13.3;0.0
17;2002;1;1;16;-10.50;85.6;1.88;91.1;2.4;2.4;0.0
18;2002;1;1;17;-9.50;86.1;1.88;91.1;0.0;0.0;0.0
19;2002;1;1;18;-8.30;85.9;2.88;102.2;0.0;0.0;0.0
20;2002;1;1;19;-7.10;85.6;3.88;107.6;0.0;0.0;0.0
21;2002;1;1;20;-6.00;85.4;4.87;110.8;0.0;0.0;0.0
22;2002;1;1;21;-6.00;85.0;4.87;107.4;0.0;0.0;0.0
23;2002;1;1;22;-6.00;84.6;4.87;104.0;0.0;0.0;0.0
24;2002;1;1;23;-6.00;84.2;4.86;100.6;0.0;0.0;0.0
25;2002;1;2;0;-6.50;85.1;5.18;81.9;0.0;0.0;0.0
26;2002;1;2;1;-7.10;86.0;5.51;64.0;0.0;0.0;0.0
27;2002;1;2;2;-7.60;86.9;5.85;49.6;0.0;0.0;0.0
28;2002;1;2;3;-8.50;85.9;6.18;45.9;0.0;0.0;0.0
29;2002;1;2;4;-9.30;84.9;6.51;42.6;0.0;0.0;0.0
30;2002;1;2;5;-10.20;84.0;6.84;39.6;0.0;0.0;0.0
31;2002;1;2;6;-11.30;84.2;6.19;34.2;0.0;0.0;0.0
32;2002;1;2;7;-12.30;84.4;5.54;27.5;0.0;0.0;0.0
33;2002;1;2;8;-13.40;84.6;4.89;19.1;0.0;0.0;0.0
34;2002;1;2;9;-13.80;84.3;4.56;16.1;0.0;0.0;0.0
35;2002;1;2;10;-14.20;84.0;4.23;12.7;9.8;9.8;0.0
36;2002;1;2;11;-14.60;83.7;3.91;8.7;41.9;41.9;0.0
37;2002;1;2;12;-14.40;82.9;3.25;6.4;77.0;30.1;436.2
38;2002;1;2;13;-14.30;82.1;2.60;2.9;90.2;33.5;472.9
39;2002;1;2;14;-14.10;81.3;1.95;357.1;75.7;29.2;456.7
40;2002;1;2;15;-14.80;81.8;1.97;347.1;40.0;40.0;0.0
41;2002;1;2;16;-15.50;82.4;1.98;336.9;9.3;9.3;0.0
42;2002;1;2;17;-16.10;82.9;2.00;327.1;0.0;0.0;0.0
43;2002;1;2;18;-17.50;83.1;1.69;320.7;0.0;0.0;0.0
44;2002;1;2;19;-18.80;83.3;1.36;311.0;0.0;0.0;0.0
45;2002;1;2;20;-18.70;83.4;1.06;295.7;0.0;0.0;0.0
46;2002;1;2;21;-20.50;82.0;1.41;273.2;0.0;0.0;0.0
47;2002;1;2;22;-19.20;82.7;1.76;258.8;0.0;0.0;0.0
48;2002;1;2;23;-17.90;82.0;2.09;250.0;0.0;0.0;0.0
49;2002;1;3;0;-17.30;81.9;1.76;253.7;0.0;0.0;0.0
50;2002;1;3;1;-16.70;81.8;1.42;259.3;0.0;0.0;0.0
51;2002;1;3;2;-16.10;81.7;1.09;268.1;0.0;0.0;0.0
52;2002;1;3;3;-15.80;82.0;1.76;240.3;0.0;0.0;0.0
53;2002;1;3;4;-15.50;82.4;2.40;227.6;0.0;0.0;0.0
54;2002;1;3;5;-15.20;82.7;3.06;221.0;0.0;0.0;0.0
55;2002;1;3;6;-13.00;84.2;3.07;224.2;0.0;0.0;0.0
56;2002;1;3;7;-10.80;85.6;3.07;227.4;0.0;0.0;0.0
57;2002;1;3;8;-8.70;87.1;3.07;230.7;0.0;0.0;0.0
58;2002;1;3;9;-7.10;85.2;4.73;236.0;0.0;0.0;0.0
59;2002;1;3;10;-5.40;83.4;6.37;238.6;10.6;10.6;0.0
60;2002;1;3;11;-3.80;81.5;8.03;240.1;27.9;27.9;0.0
61;2002;1;3;12;-3.00;81.7;8.03;243.4;38.8;38.8;0.0
62;2002;1;3;13;-2.20;81.9;8.03;246.7;41.4;41.4;0.0
63;2002;1;3;14;-1.40;82.1;8.03;250.0;34.5;34.5;0.0
64;2002;1;3;15;-1.00;83.2;7.70;247.0;16.4;16.4;0.0
65;2002;1;3;16;-0.70;84.2;7.37;243.7;3.0;3.0;0.0
66;2002;1;3;17;-0.30;85.3;7.04;240.1;0.0;0.0;0.0
67;2002;1;3;18;-0.40;86.1;7.04;243.4;0.0;0.0;0.0
68;2002;1;3;19;-0.50;86.8;7.04;246.7;0.0;0.0;0.0
69;2002;1;3;20;-0.70;87.6;7.04;250.0;0.0;0.0;0.0
