#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-4.95;88.7;5.28;1.3;0.0;0.0;0.0
2;2002;1;1;1;-6.09;88.7;4.63;351.2;0.0;0.0;0.0
3;2002;1;1;2;-7.36;88.3;3.97;338.0;0.0;0.0;0.0
4;2002;1;1;3;-9.06;87.9;3.52;333.6;0.0;0.0;0.0
5;2002;1;1;4;-10.90;87.2;3.00;327.0;0.0;0.0;0.0
6;2002;1;1;5;-12.91;86.3;2.39;316.2;0.0;0.0;0.0
7;2002;1;1;6;-15.11;85.4;2.00;306.4;0.0;0.0;0.0
8;2002;1;1;7;-17.38;84.1;1.57;290.7;0.0;0.0;0.0
9;2002;1;1;8;-19.80;82.5;1.11;267.1;0.0;0.0;0.0
10;2002;1;1;9;-21.30;81.3;1.44;222.4;0.0;0.0;0.0
11;2002;1;1;10;-19.90;82.4;1.72;188.5;7.9;7.9;0.0
12;2002;1;1;11;-18.50;83.6;2.01;173.8;21.5;21.5;0.0
13;2002;1;1;12;-16.10;85.5;2.33;169.1;30.2;29.0;12.5
14;2002;1;1;13;-13.80;87.5;2.65;165.5;27.8;26.7;9.5
15;2002;1;1;14;-11.50;88.5;2.97;162.6;16.9;15.1;18.4
16;2002;1;1;15;-10.60;90.2;3.92;147.0;7.7;7.7;0.0
17;2002;1;1;16;-9.80;91.0;4.89;137.4;1.9;1.9;0.0
18;2002;1;1;17;-8.90;91.7;5.86;131.2;0.0;0.0;0.0
19;2002;1;1;18;-8.50;92.1;6.17;123.7;0.0;0.0;0.0
20;2002;1;1;19;-8.10;92.4;6.49;116.9;0.0;0.0;0.0
21;2002;1;1;20;-8.40;92.2;6.81;110.8;0.0;0.0;0.0
22;2002;1;1;21;-8.10;92.4;6.80;104.1;0.0;0.0;0.0
23;2002;1;1;22;-8.30;92.3;6.79;97.2;0.0;0.0;0.0
24;2002;1;1;23;-8.50;92.1;6.78;90.5;0.0;0.0;0.0
25;2002;1;2;0;-8.70;91.9;6.11;82.6;0.0;0.0;0.0
26;2002;1;2;1;-8.90;91.7;5.46;72.5;0.0;0.0;0.0
27;2002;1;2;2;-9.20;91.2;4.79;59.8;0.0;0.0;0.0
28;2002;1;2;3;-10.50;90.3;4.80;53.0;0.0;0.0;0.0
29;2002;1;2;4;-11.70;89.2;4.80;46.1;0.0;0.0;0.0
30;2002;1;2;5;-13.00;88.1;4.81;39.3;0.0;0.0;0.0
31;2002;1;2;6;-14.10;87.2;4.15;36.8;0.0;0.0;0.0
32;2002;1;2;7;-15.10;86.4;3.50;33.4;0.0;0.0;0.0
33;2002;1;2;8;-16.10;85.5;2.85;28.4;0.0;0.0;0.0
34;2002;1;2;9;-16.70;85.0;2.53;23.0;0.0;0.0;0.0
35;2002;1;2;10;-17.40;84.5;2.21;15.9;8.1;8.1;0.0
36;2002;1;2;11;-18.00;84.0;1.90;6.6;39.0;39.0;0.0
37;2002;1;2;12;-17.50;84.4;1.91;359.7;76.8;25.4;486.6
38;2002;1;2;13;-17.00;84.8;1.93;352.8;92.6;28.7;527.6
39;2002;1;2;14;-16.60;85.1;1.94;346.1;78.8;25.1;487.2
40;2002;1;2;15;-17.60;84.3;1.65;331.9;42.3;42.3;0.0
41;2002;1;2;16;-18.60;83.5;1.38;304.8;10.1;10.1;0.0
42;2002;1;2;17;-19.60;82.7;1.11;267.1;0.0;0.0;0.0
43;2002;1;2;18;-20.20;82.2;1.12;261.2;0.0;0.0;0.0
44;2002;1;2;19;-20.90;81.6;1.12;255.3;0.0;0.0;0.0
45;2002;1;2;20;-21.60;81.1;1.12;249.4;0.0;0.0;0.0
