#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;1998;1;1;0;-5.90;88.9;3.14;161.9;0.0;0.0;0.0
2;1998;1;1;1;-6.51;89.1;3.02;161.9;0.0;0.0;0.0
3;1998;1;1;2;-7.05;89.4;2.86;161.9;0.0;0.0;0.0
4;1998;1;1;3;-7.48;90.2;2.44;155.4;0.0;0.0;0.0
5;1998;1;1;4;-7.70;90.8;2.07;148.8;0.0;0.0;0.0
6;1998;1;1;5;-7.91;91.4;1.73;142.2;0.0;0.0;0.0
7;1998;1;1;6;-8.05;91.7;1.50;152.0;0.0;0.0;0.0
8;1998;1;1;7;-8.08;92.0;1.26;162.0;0.0;0.0;0.0
9;1998;1;1;8;-8.10;92.4;1.01;171.6;0.0;0.0;0.0
10;1998;1;1;9;-7.90;92.6;1.01;165.2;0.0;0.0;0.0
11;1998;1;1;10;-7.70;92.8;1.00;158.6;0.0;0.0;0.0
12;1998;1;1;11;-7.50;92.9;1.00;152.1;0.0;0.0;0.0
13;1998;1;1;12;-7.20;93.3;1.34;176.1;0.0;0.0;0.0
14;1998;1;1;13;-6.80;93.6;1.68;191.2;1.9;1.9;0.0
15;1998;1;1;14;-7.00;93.4;2.01;200.3;0.8;0.8;0.0
16;1998;1;1;15;-7.20;93.2;2.00;187.5;0.0;0.0;0.0
17;1998;1;1;16;-7.40;93.0;2.00;173.9;0.0;0.0;0.0
18;1998;1;1;17;-7.60;92.8;1.99;160.9;0.0;0.0;0.0
19;1998;1;1;18;-8.10;92.4;1.99;157.7;0.0;0.0;0.0
20;1998;1;1;19;-8.60;92.0;1.99;154.3;0.0;0.0;0.0
21;1998;1;1;20;-9.10;91.6;1.98;151.0;0.0;0.0;0.0
22;1998;1;1;21;-9.70;91.0;1.98;151.0;0.0;0.0;0.0
23;1998;1;1;22;-10.30;90.5;1.98;151.0;0.0;0.0;0.0
24;1998;1;1;23;-10.90;90.0;1.98;151.0;0.0;0.0;0.0
25;1998;1;2;0;-11.70;89.2;1.66;155.2;0.0;0.0;0.0
26;1998;1;2;1;-12.60;88.5;1.33;161.4;0.0;0.0;0.0
27;1998;1;2;2;-13.40;87.8;1.01;171.6;0.0;0.0;0.0
28;1998;1;2;3;-14.10;87.2;1.01;165.2;0.0;0.0;0.0
29;1998;1;2;4;-14.80;86.6;1.00;158.6;0.0;0.0;0.0
30;1998;1;2;5;-15.60;86.0;1.00;152.1;0.0;0.0;0.0
31;1998;1;2;6;-15.70;85.8;1.32;146.6;0.0;0.0;0.0
32;1998;1;2;7;-15.10;86.4;1.65;143.3;0.0;0.0;0.0
33;1998;1;2;8;-14.40;87.0;1.98;141.1;0.0;0.0;0.0
34;1998;1;2;9;-14.20;87.1;1.98;144.4;0.0;0.0;0.0
35;1998;1;2;10;-14.00;87.3;1.98;147.7;0.0;0.0;0.0
36;1998;1;2;11;-13.80;87.5;1.98;151.0;0.0;0.0;0.0
37;1998;1;2;12;-12.60;88.5;2.31;146.6;1.7;1.7;0.0
38;1998;1;2;13;-11.40;89.6;2.64;143.3;3.3;3.3;0.0
39;1998;1;2;14;-10.20;90.6;2.96;140.7;1.1;1.1;0.0
40;1998;1;2;15;-9.70;90.9;2.96;140.7;0.0;0.0;0.0
41;1998;1;2;16;-9.30;91.0;2.96;140.7;0.0;0.0;0.0
42;1998;1;2;17;-8.80;91.0;2.96;140.7;0.0;0.0;0.0
43;1998;1;2;18;-8.60;91.3;2.64;140.8;0.0;0.0;0.0
44;1998;1;2;19;-8.40;91.6;2.30;141.0;0.0;0.0;0.0
45;1998;1;2;20;-8.30;91.9;1.98;141.1;0.0;0.0;0.0
46;1998;1;2;21;-8.10;91.9;2.30;145.2;0.0;0.0;0.0
47;1998;1;2;22;-8.00;91.9;2.64;148.3;0.0;0.0;0.0
48;1998;1;2;23;-7.80;92.0;2.97;150.7;0.0;0.0;0.0
49;1998;1;3;0;-7.80;92.2;2.65;155.7;0.0;0.0;0.0
50;1998;1;3;1;-7.80;92.5;2.31;162.2;0.0;0.0;0.0
51;1998;1;3;2;-7.70;92.8;1.99;170.8;0.0;0.0;0.0
52;1998;1;3;3;-8.00;92.5;1.99;161.0;0.0;0.0;0.0
53;1998;1;3;4;-8.20;92.2;1.98;150.9;0.0;0.0;0.0
54;1998;1;3;5;-8.40;91.9;1.98;141.1;0.0;0.0;0.0
55;1998;1;3;6;-8.50;91.9;1.97;137.8;0.0;0.0;0.0
56;1998;1;3;7;-8.60;91.9;1.97;134.5;0.0;0.0;0.0
57;1998;1;3;8;-8.60;91.9;1.97;131.1;0.0;0.0;0.0
58;1998;1;3;9;-8.50;91.9;1.97;131.1;0.0;0.0;0.0
59;1998;1;3;10;-8.40;91.9;1.97;131.1;0.0;0.0;0.0
60;1998;1;3;11;-8.30;91.9;1.97;131.1;0.0;0.0;0.0
61;1998;1;3;12;-8.00;92.2;1.97;131.1;0.0;0.0;0.0
62;1998;1;3;13;-7.70;92.5;1.97;131.1;1.9;1.9;0.0
63;1998;1;3;14;-7.50;92.8;1.97;131.1;0.8;0.8;0.0
64;1998;1;3;15;-7.40;92.8;2.29;131.0;0.0;0.0;0.0
65;1998;1;3;16;-7.30;92.8;2.63;130.9;0.0;0.0;0.0
66;1998;1;3;17;-7.20;92.8;2.95;130.8;0.0;0.0;0.0
67;1998;1;3;18;-6.70;92.9;2.63;128.4;0.0;0.0;0.0
68;1998;1;3;19;-6.20;93.0;2.29;125.3;0.0;0.0;0.0
69;1998;1;3;20;-6.60;92.9;1.96;121.1;0.0;0.0;0.0
70;1998;1;3;21;-6.60;93.2;1.97;124.5;0.0;0.0;0.0
71;1998;1;3;22;-6.30;93.5;1.97;127.8;0.0;0.0;0.0
72;1998;1;3;23;-6.00;93.8;1.97;131.1;0.0;0.0;0.0
73;1998;1;4;0;-6.00;94.0;1.97;131.1;0.0;0.0;0.0
74;1998;1;4;1;-6.00;94.3;1.97;131.1;0.0;0.0;0.0
75;1998;1;4;2;-5.90;94.4;1.97;131.1;0.0;0.0;0.0
76;1998;1;4;3;-5.90;94.5;1.64;129.4;0.0;0.0;0.0
77;1998;1;4;4;-5.80;94.5;1.31;126.7;0.0;0.0;0.0
78;1998;1;4;5;-5.70;94.6;0.98;122.3;0.0;0.0;0.0
79;1998;1;4;6;-5.80;94.5;0.97;109.1;0.0;0.0;0.0
80;1998;1;4;7;-5.80;94.5;0.96;95.0;0.0;0.0;0.0
81;1998;1;4;8;-5.80;94.5;0.96;81.6;0.0;0.0;0.0
82;1998;1;4;9;-5.80;94.5;0.96;81.6;0.0;0.0;0.0
83;1998;1;4;10;-5.70;94.6;0.96;81.6;0.0;0.0;0.0
84;1998;1;4;11;-5.70;94.6;0.96;81.6;0.0;0.0;0.0
85;1998;1;4;12;-5.60;94.6;0.63;82.4;1.9;1.9;0.0
86;1998;1;4;13;-5.50;94.6;0.30;85.2;2.8;2.8;0.0
87;1998;1;4;14;-5.40;94.6;0.04;216.9;0.8;0.8;0.0
88;1998;1;4;15;-5.20;94.9;0.30;85.2;0.0;0.0;0.0
89;1998;1;4;16;-5.00;95.2;0.63;82.4;0.0;0.0;0.0
90;1998;1;4;17;-4.80;95.5;0.96;81.6;0.0;0.0;0.0
91;1998;1;4;18;-4.60;95.5;0.96;81.6;0.0;0.0;0.0
92;1998;1;4;19;-4.40;95.6;0.96;81.6;0.0;0.0;0.0
93;1998;1;4;20;-4.70;95.5;0.96;81.6;0.0;0.0;0.0
94;1998;1;4;21;-4.70;95.5;0.96;81.6;0.0;0.0;0.0
95;1998;1;4;22;-4.30;95.6;0.96;81.6;0.0;0.0;0.0
96;1998;1;4;23;-3.90;95.6;0.96;81.6;0.0;0.0;0.0
97;1998;1;5;0;-3.70;95.9;1.29;101.6;0.0;0.0;0.0
98;1998;1;5;1;-3.50;96.2;1.63;113.7;0.0;0.0;0.0
99;1998;1;5;2;-3.30;96.5;1.96;121.1;0.0;0.0;0.0
100;1998;1;5;3;-3.30;96.5;1.96;121.1;0.0;0.0;0.0
101;1998;1;5;4;-3.30;96.5;1.96;121.1;0.0;0.0;0.0
102;1998;1;5;5;-3.30;96.5;1.96;121.1;0.0;0.0;0.0
