#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-6.25;89.0;3.36;308.4;0.0;0.0;0.0
2;2002;1;1;1;-8.20;88.3;3.16;308.4;0.0;0.0;0.0
3;2002;1;1;2;-10.36;87.3;3.02;308.4;0.0;0.0;0.0
4;2002;1;1;3;-11.16;87.3;2.55;312.1;0.0;0.0;0.0
5;2002;1;1;4;-11.93;87.3;2.01;319.1;0.0;0.0;0.0
6;2002;1;1;5;-12.66;87.2;1.36;335.4;0.0;0.0;0.0
7;2002;1;1;6;-15.46;85.2;0.94;333.1;0.0;0.0;0.0
8;2002;1;1;7;-18.48;83.0;0.48;325.5;0.0;0.0;0.0
9;2002;1;1;8;-21.70;80.4;0.08;229.4;0.0;0.0;0.0
10;2002;1;1;9;-23.20;79.8;1.01;154.6;0.0;0.0;0.0
11;2002;1;1;10;-20.20;82.2;2.00;152.3;2.6;2.6;0.0
12;2002;1;1;11;-17.20;84.6;3.00;151.5;12.9;12.9;0.0
13;2002;1;1;12;-18.40;83.6;2.33;152.0;28.3;28.3;0.0
14;2002;1;1;13;-19.60;82.6;1.68;152.8;28.3;28.3;0.0
15;2002;1;1;14;-20.90;81.7;1.01;154.6;20.5;20.5;0.0
16;2002;1;1;15;-19.00;83.1;1.32;138.6;8.7;8.7;0.0
17;2002;1;1;16;-17.10;84.7;1.64;128.7;1.3;1.3;0.0
18;2002;1;1;17;-15.30;86.2;1.96;122.3;0.0;0.0;0.0
19;2002;1;1;18;-16.60;84.7;1.30;123.4;0.0;0.0;0.0
20;2002;1;1;19;-18.00;82.4;0.64;126.9;0.0;0.0;0.0
21;2002;1;1;20;-19.30;80.1;0.08;229.4;0.0;0.0;0.0
22;2002;1;1;21;-17.90;82.4;0.26;89.3;0.0;0.0;0.0
23;2002;1;1;22;-16.40;84.7;0.60;84.0;0.0;0.0;0.0
24;2002;1;1;23;-14.90;86.5;0.92;82.6;0.0;0.0;0.0
25;2002;1;2;0;-15.90;85.7;1.25;18.1;0.0;0.0;0.0
26;2002;1;2;1;-16.90;84.9;1.64;331.1;0.0;0.0;0.0
27;2002;1;2;2;-17.90;84.0;1.99;317.6;0.0;0.0;0.0
28;2002;1;2;3;-18.00;84.0;1.99;317.6;0.0;0.0;0.0
29;2002;1;2;4;-18.10;83.8;1.99;317.6;0.0;0.0;0.0
30;2002;1;2;5;-18.10;83.1;1.99;317.6;0.0;0.0;0.0
31;2002;1;2;6;-18.90;81.8;1.67;313.2;0.0;0.0;0.0
32;2002;1;2;7;-19.60;80.5;1.34;306.5;0.0;0.0;0.0
33;2002;1;2;8;-20.40;79.2;1.02;295.6;0.0;0.0;0.0
34;2002;1;2;9;-20.50;79.5;1.02;298.9;0.0;0.0;0.0
35;2002;1;2;10;-20.60;79.9;1.01;302.1;2.6;2.6;0.0
36;2002;1;2;11;-20.80;80.3;1.01;305.4;13.9;13.9;0.0
37;2002;1;2;12;-21.50;81.1;0.68;303.2;32.1;32.1;0.0
38;2002;1;2;13;-22.30;80.5;0.35;296.6;44.5;44.5;0.0
39;2002;1;2;14;-21.10;81.4;0.08;229.4;30.4;30.4;0.0
40;2002;1;2;15;-20.40;82.0;0.35;163.3;11.3;11.3;0.0
41;2002;1;2;16;-19.70;82.6;0.69;156.8;2.0;2.0;0.0
42;2002;1;2;17;-19.00;82.2;1.01;154.6;0.0;0.0;0.0
43;2002;1;2;18;-18.70;82.9;1.02;157.8;0.0;0.0;0.0
44;2002;1;2;19;-18.40;83.5;1.02;161.1;0.0;0.0;0.0
45;2002;1;2;20;-18.10;83.9;1.03;164.3;0.0;0.0;0.0
46;2002;1;2;21;-18.10;83.9;1.02;161.1;0.0;0.0;0.0
