#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-5.30;88.3;5.33;1.6;0.0;0.0;0.0
2;2002;1;1;1;-6.47;88.3;4.66;351.5;0.0;0.0;0.0
3;2002;1;1;2;-7.80;87.9;4.00;338.3;0.0;0.0;0.0
4;2002;1;1;3;-9.61;87.4;3.53;333.9;0.0;0.0;0.0
5;2002;1;1;4;-11.57;86.7;3.00;327.3;0.0;0.0;0.0
6;2002;1;1;5;-13.73;85.7;2.38;316.3;0.0;0.0;0.0
7;2002;1;1;6;-15.99;84.6;1.98;306.3;0.0;0.0;0.0
8;2002;1;1;7;-18.41;83.2;1.55;290.0;0.0;0.0;0.0
9;2002;1;1;8;-21.00;81.5;1.09;265.3;0.0;0.0;0.0
10;2002;1;1;9;-22.60;80.3;1.45;220.6;0.0;0.0;0.0
11;2002;1;1;10;-21.10;81.5;1.76;187.2;8.0;8.0;0.0
12;2002;1;1;11;-19.60;82.7;2.07;173.0;21.5;21.5;0.0
13;2002;1;1;12;-17.10;84.7;2.39;168.4;30.2;29.0;12.6
14;2002;1;1;13;-14.60;86.7;2.72;164.9;27.8;26.7;9.6
15;2002;1;1;14;-12.20;87.9;3.05;162.2;16.9;15.1;18.4
16;2002;1;1;15;-11.30;89.6;4.01;146.8;7.7;7.7;0.0
17;2002;1;1;16;-10.40;90.4;4.99;137.4;1.9;1.9;0.0
18;2002;1;1;17;-9.50;91.2;5.97;131.2;0.0;0.0;0.0
19;2002;1;1;18;-9.00;91.6;6.28;123.8;0.0;0.0;0.0
20;2002;1;1;19;-8.60;92.0;6.61;117.0;0.0;0.0;0.0
21;2002;1;1;20;-8.90;91.7;6.92;111.0;0.0;0.0;0.0
22;2002;1;1;21;-8.60;92.0;6.91;104.3;0.0;0.0;0.0
23;2002;1;1;22;-8.80;91.8;6.90;97.5;0.0;0.0;0.0
24;2002;1;1;23;-9.00;91.6;6.89;90.7;0.0;0.0;0.0
25;2002;1;2;0;-9.20;91.4;6.21;82.9;0.0;0.0;0.0
26;2002;1;2;1;-9.50;91.2;5.54;72.9;0.0;0.0;0.0
27;2002;1;2;2;-9.70;90.7;4.86;60.4;0.0;0.0;0.0
28;2002;1;2;3;-11.10;89.8;4.86;53.5;0.0;0.0;0.0
29;2002;1;2;4;-12.50;88.6;4.86;46.6;0.0;0.0;0.0
30;2002;1;2;5;-13.80;87.4;4.86;39.8;0.0;0.0;0.0
31;2002;1;2;6;-14.90;86.5;4.19;37.4;0.0;0.0;0.0
32;2002;1;2;7;-16.00;85.6;3.53;34.1;0.0;0.0;0.0
33;2002;1;2;8;-17.10;84.7;2.87;29.3;0.0;0.0;0.0
34;2002;1;2;9;-17.70;84.2;2.54;24.0;0.0;0.0;0.0
35;2002;1;2;10;-18.40;83.6;2.21;17.0;8.1;8.1;0.0
36;2002;1;2;11;-19.00;83.1;1.89;7.7;39.0;39.0;0.0
37;2002;1;2;12;-18.50;83.5;1.90;0.7;76.9;25.4;486.7
38;2002;1;2;13;-18.00;83.9;1.91;353.7;92.7;28.7;527.7
39;2002;1;2;14;-17.60;84.3;1.93;346.8;78.8;25.1;487.2
40;2002;1;2;15;-18.60;83.5;1.63;332.4;42.3;42.3;0.0
41;2002;1;2;16;-19.70;82.6;1.35;304.5;10.1;10.1;0.0
42;2002;1;2;17;-20.70;81.8;1.09;265.3;0.0;0.0;0.0
43;2002;1;2;18;-21.40;81.2;1.10;259.3;0.0;0.0;0.0
44;2002;1;2;19;-22.10;80.6;1.11;253.3;0.0;0.0;0.0
45;2002;1;2;20;-22.90;80.1;1.12;247.4;0.0;0.0;0.0
46;2002;1;2;21;-23.20;79.8;1.45;243.4;0.0;0.0;0.0
47;2002;1;2;22;-23.50;79.6;1.79;240.9;0.0;0.0;0.0
48;2002;1;2;23;-23.10;79.9;2.12;239.2;0.0;0.0;0.0
49;2002;1;3;0;-20.80;81.7;2.12;236.1;0.0;0.0;0.0
50;2002;1;3;1;-18.40;83.6;2.12;232.9;0.0;0.0;0.0
51;2002;1;3;2;-16.10;85.6;2.12;229.8;0.0;0.0;0.0
52;2002;1;3;3;-14.70;86.7;2.79;229.8;0.0;0.0;0.0
53;2002;1;3;4;-13.40;87.8;3.45;229.9;0.0;0.0;0.0
54;2002;1;3;5;-12.10;88.9;4.12;229.9;0.0;0.0;0.0
55;2002;1;3;6;-11.20;89.7;4.12;229.9;0.0;0.0;0.0
56;2002;1;3;7;-10.30;90.5;4.12;229.9;0.0;0.0;0.0
57;2002;1;3;8;-9.50;91.2;4.12;229.9;0.0;0.0;0.0
58;2002;1;3;9;-8.10;92.4;4.78;234.1;0.0;0.0;0.0
59;2002;1;3;10;-6.80;93.6;5.44;237.2;3.2;3.2;0.0
60;2002;1;3;11;-5.50;94.8;6.11;239.7;12.6;12.6;0.0
61;2002;1;3;12;-4.90;95.3;6.11;239.7;23.2;21.8;14.2
62;2002;1;3;13;-4.40;95.8;6.11;239.7;33.0;32.1;7.6
63;2002;1;3;14;-3.90;96.3;6.11;239.7;30.2;29.5;7.3
64;2002;1;3;15;-3.90;96.3;5.78;242.6;15.3;15.3;0.0
65;2002;1;3;16;-3.90;96.2;5.44;245.8;4.3;4.3;0.0
66;2002;1;3;17;-4.00;96.2;5.10;249.4;0.0;0.0;0.0
67;2002;1;3;18;-3.60;96.6;5.10;249.4;0.0;0.0;0.0
68;2002;1;3;19;-3.20;96.9;5.10;249.4;0.0;0.0;0.0
69;2002;1;3;20;-3.30;96.8;5.10;249.4;0.0;0.0;0.0
70;2002;1;3;21;-3.30;96.8;5.10;249.4;0.0;0.0;0.0
71;2002;1;3;22;-2.50;97.6;5.10;249.4;0.0;0.0;0.0
72;2002;1;3;23;-1.70;98.3;5.10;249.4;0.0;0.0;0.0
73;2002;1;4;0;-1.10;98.9;4.77;252.2;0.0;0.0;0.0
74;2002;1;4;1;-0.50;99.2;4.43;255.3;0.0;0.0;0.0
75;2002;1;4;2;0.10;99.1;4.10;259.0;0.0;0.0;0.0
76;2002;1;4;3;0.60;98.0;3.76;261.6;0.0;0.0;0.0
77;2002;1;4;4;1.20;96.9;3.42;264.6;0.0;0.0;0.0
78;2002;1;4;5;1.70;96.3;3.09;268.4;0.0;0.0;0.0
79;2002;1;4;6;1.70;96.6;3.08;271.6;0.0;0.0;0.0
80;2002;1;4;7;1.80;96.9;3.08;274.8;0.0;0.0;0.0
81;2002;1;4;8;1.80;97.2;3.07;278.1;0.0;0.0;0.0
82;2002;1;4;9;1.80;97.5;2.74;277.8;0.0;0.0;0.0
83;2002;1;4;10;1.70;97.8;2.40;277.5;7.1;7.1;0.0
84;2002;1;4;11;1.70;98.1;2.07;277.1;27.3;27.3;0.0
85;2002;1;4;12;1.80;98.1;2.07;280.3;43.1;43.1;0.0
86;2002;1;4;13;1.90;98.1;2.06;283.6;43.1;43.1;0.0
87;2002;1;4;14;2.10;98.1;2.06;286.8;33.8;33.8;0.0
88;2002;1;4;15;2.10;98.5;2.07;280.4;18.0;18.0;0.0
89;2002;1;4;16;2.10;98.8;2.08;273.9;4.3;4.3;0.0
90;2002;1;4;17;2.10;99.1;2.09;267.6;0.0;0.0;0.0
91;2002;1;4;18;2.30;98.8;2.08;273.9;0.0;0.0;0.0
92;2002;1;4;19;2.60;98.5;2.07;280.4;0.0;0.0;0.0
93;2002;1;4;20;2.50;98.1;2.06;286.8;0.0;0.0;0.0
94;2002;1;4;21;2.60;98.5;2.04;293.2;0.0;0.0;0.0
95;2002;1;4;22;2.30;98.8;2.03;299.8;0.0;0.0;0.0
96;2002;1;4;23;2.00;99.1;2.01;306.3;0.0;0.0;0.0
97;2002;1;5;0;1.70;99.4;1.69;303.7;0.0;0.0;0.0
98;2002;1;5;1;1.50;99.7;1.36;299.7;0.0;0.0;0.0
99;2002;1;5;2;1.20;100.0;1.04;293.2;0.0;0.0;0.0
100;2002;1;5;3;0.90;100.0;1.39;285.2;0.0;0.0;0.0
101;2002;1;5;4;0.60;100.0;1.74;280.4;0.0;0.0;0.0
102;2002;1;5;5;0.30;100.0;2.07;277.1;0.0;0.0;0.0
103;2002;1;5;6;0.00;100.0;2.08;273.9;0.0;0.0;0.0
104;2002;1;5;7;-0.30;99.8;2.08;270.7;0.0;0.0;0.0
105;2002;1;5;8;-0.50;99.5;2.09;267.6;0.0;0.0;0.0
106;2002;1;5;9;-0.90;99.1;2.10;261.2;0.0;0.0;0.0
107;2002;1;5;10;-0.50;99.5;2.11;254.9;4.3;4.3;0.0
108;2002;1;5;11;-0.20;99.8;2.11;248.6;13.6;13.6;0.0
109;2002;1;5;12;0.40;100.0;2.76;263.3;21.3;20.9;4.1
110;2002;1;5;13;1.00;100.0;3.41;272.5;25.3;24.9;3.6
111;2002;1;5;14;1.50;100.0;4.07;278.5;26.4;26.1;3.1
112;2002;1;5;15;1.50;99.4;4.06;281.8;19.0;19.0;0.0
113;2002;1;5;16;1.50;98.8;4.05;285.1;5.2;5.2;0.0
114;2002;1;5;17;1.50;98.1;4.05;288.4;0.0;0.0;0.0
115;2002;1;5;18;1.10;98.8;3.05;288.9;0.0;0.0;0.0
116;2002;1;5;19;0.70;99.8;2.05;290.0;0.0;0.0;0.0
117;2002;1;5;20;0.30;100.0;1.04;293.2;0.0;0.0;0.0
118;2002;1;5;21;0.40;100.0;1.38;290.0;0.0;0.0;0.0
119;2002;1;5;22;0.50;100.0;1.72;288.1;0.0;0.0;0.0
120;2002;1;5;23;0.60;100.0;2.06;286.8;0.0;0.0;0.0
121;2002;1;6;0;0.50;100.0;2.05;290.0;0.0;0.0;0.0
122;2002;1;6;1;0.50;100.0;2.04;293.3;0.0;0.0;0.0
123;2002;1;6;2;0.40;100.0;2.03;296.5;0.0;0.0;0.0
124;2002;1;6;3;0.30;100.0;2.05;290.0;0.0;0.0;0.0
125;2002;1;6;4;0.30;100.0;2.06;283.5;0.0;0.0;0.0
126;2002;1;6;5;0.20;100.0;2.07;277.1;0.0;0.0;0.0
127;2002;1;6;6;0.30;99.9;2.06;286.7;0.0;0.0;0.0
128;2002;1;6;7;0.50;99.7;2.03;296.6;0.0;0.0;0.0
129;2002;1;6;8;0.60;99.6;2.01;306.3;0.0;0.0;0.0
130;2002;1;6;9;0.70;99.5;1.98;322.5;0.0;0.0;0.0
131;2002;1;6;10;0.80;99.4;1.94;340.4;3.2;3.2;0.0
132;2002;1;6;11;0.90;99.3;1.91;357.2;12.6;12.6;0.0
133;2002;1;6;12;1.20;96.9;2.21;19.8;24.2;24.2;0.0
134;2002;1;6;13;1.50;94.7;2.53;37.7;37.1;37.1;0.0
135;2002;1;6;14;1.10;92.6;2.86;50.2;39.0;39.0;0.0
136;2002;1;6;15;0.60;92.7;3.20;62.5;23.5;23.5;0.0
137;2002;1;6;16;0.10;92.9;3.54;72.8;6.8;6.8;0.0
138;2002;1;6;17;-0.40;92.6;3.88;81.0;0.0;0.0;0.0
139;2002;1;6;18;-0.80;91.7;3.56;86.7;0.0;0.0;0.0
140;2002;1;6;19;-1.20;90.7;3.23;93.7;0.0;0.0;0.0
141;2002;1;6;20;-1.60;89.8;2.92;102.0;0.0;0.0;0.0
142;2002;1;6;21;-1.70;91.0;2.26;109.4;0.0;0.0;0.0
143;2002;1;6;22;-1.80;92.3;1.63;124.0;0.0;0.0;0.0
144;2002;1;6;23;-1.80;93.6;1.03;157.0;0.0;0.0;0.0
145;2002;1;7;0;-2.20;93.6;1.37;160.1;0.0;0.0;0.0
146;2002;1;7;1;-2.50;93.6;1.72;162.0;0.0;0.0;0.0
147;2002;1;7;2;-2.90;93.6;2.05;163.3;0.0;0.0;0.0
